,SoSciCondition,participantID,condition,Text_SoSci,color,sentence_x,answer,Text_x,Position,sentence_y,confidence,sentence_x,reading_time,sentence_y,truthvalue,Text_y,read,correctAnswer
51,2,19117,high,1,3,T108_02,1,1,2,T110_02,5.0,T111_02a,2540.0,TC04x02,true,TC04,1,1
52,1,80909,low,1,2,T108_02,0,1,2,T110_02,5.0,T111_02a,6153.0,TC04x02,true,TC04,1,0
53,1,48497,low,1,2,T108_02,1,1,2,T110_02,5.0,T111_02a,2412.0,TC04x02,true,TC04,1,1
54,2,33490,high,1,3,T108_02,0,1,2,T110_02,3.0,T111_02a,8846.0,TC04x02,true,TC04,1,0
55,3,63779,control,1,6,T108_02,1,1,2,T110_02,6.0,T111_02a,12292.0,TC04x02,true,TC04,1,1
56,3,17880,control,1,7,T108_02,1,1,2,T110_02,4.0,T111_02a,4313.0,TC04x02,true,TC04,1,1
57,3,91943,control,1,6,T108_02,1,1,2,T110_02,6.0,T111_02a,17402.0,TC04x02,false,TC04,1,1
58,2,1051,high,1,3,T108_02,0,1,2,T110_02,1.0,T111_02a,4664.0,TC04x02,true,TC04,1,0
59,1,46667,low,1,2,T108_02,0,1,2,T110_02,1.0,T111_02a,7371.0,TC04x02,false,TC04,1,0
60,3,2274,control,1,7,T108_02,1,1,2,T110_02,3.0,T111_02a,2310.0,TC04x02,true,TC04,1,1
61,1,42927,low,1,2,T108_02,0,1,2,T110_02,3.0,T111_02a,1917.0,TC04x02,true,TC04,1,0
62,1,9902,low,1,1,T108_02,0,1,2,T110_02,2.0,T111_02a,1448.0,TC04x02,true,TC04,1,0
63,3,68993,control,1,7,T108_02,0,1,2,T110_02,6.0,T111_02a,1705.0,TC04x02,false,TC04,1,0
64,1,73912,low,1,2,T108_02,1,1,2,T110_02,4.0,T111_02a,4846.0,TC04x02,false,TC04,1,1
65,1,38511,low,1,2,T108_02,1,1,2,T110_02,5.0,T111_02a,2218.0,TC04x02,true,TC04,1,1
66,2,85387,high,1,3,T108_02,1,1,2,T110_02,2.0,T111_02a,3277.0,TC04x02,true,TC04,1,1
67,2,36995,high,1,4,T108_02,1,1,2,T110_02,4.0,T111_02a,1834.0,TC04x02,true,TC04,1,1
68,2,91036,high,1,3,T108_02,0,1,2,T110_02,5.0,T111_02a,2965.0,TC04x02,true,TC04,1,0
69,3,68330,control,1,7,T108_02,1,1,2,T110_02,4.0,T111_02a,1057.0,TC04x02,true,TC04,1,1
70,1,9170,low,1,2,T108_02,1,1,2,T110_02,4.0,T111_02a,3633.0,TC04x02,true,TC04,1,1
71,2,3062,high,1,4,T108_02,1,1,2,T110_02,5.0,T111_02a,1350.0,TC04x02,false,TC04,1,1
72,2,82248,high,1,3,T108_02,1,1,2,T110_02,1.0,T111_02a,1944.0,TC04x02,false,TC04,1,1
73,1,88704,low,1,2,T108_02,1,1,2,T110_02,3.0,T111_02a,7110.0,TC04x02,true,TC04,1,1
74,3,54993,control,1,6,T108_02,0,1,2,T110_02,3.0,T111_02a,3290.0,TC04x02,true,TC04,1,0
75,1,50213,low,1,2,T108_02,1,1,2,T110_02,6.0,T111_02a,3604.0,TC04x02,false,TC04,1,1
76,3,19356,control,1,7,T108_02,0,1,2,T110_02,3.0,T111_02a,2810.0,TC04x02,true,TC04,1,0
77,1,84379,low,1,1,T108_02,1,1,2,T110_02,5.0,T111_02a,2514.0,TC04x02,true,TC04,1,1
78,3,98005,control,1,7,T108_02,1,1,2,T110_02,1.0,T111_02a,3121.0,TC04x02,true,TC04,1,1
79,1,86414,low,1,1,T108_02,1,1,2,T110_02,3.0,T111_02a,2712.0,TC04x02,true,TC04,1,1
80,3,18956,control,1,6,T108_02,0,1,2,T110_02,5.0,T111_02a,2538.0,TC04x02,true,TC04,1,0
81,2,20447,high,1,3,T108_02,0,1,2,T110_02,6.0,T111_02a,4151.0,TC04x02,true,TC04,1,0
82,3,4559,control,1,6,T108_03,1,1,3,T110_03,6.0,T111_03a,4211.0,TC04x03,true,TC04,1,1
83,2,59361,high,1,4,T108_03,1,1,3,T110_03,6.0,T111_03a,2035.0,TC04x03,true,TC04,1,1
84,2,94677,high,1,4,T108_03,1,1,3,T110_03,6.0,T111_03a,5192.0,TC04x03,false,TC04,1,1
85,3,39514,control,1,6,T108_03,1,1,3,T110_03,4.0,T111_03a,4935.0,TC04x03,false,TC04,1,1
86,3,89555,control,1,5,T108_03,1,1,3,T110_03,6.0,T111_03a,2605.0,TC04x03,true,TC04,1,1
87,1,99467,low,1,2,T108_03,1,1,3,T110_03,4.0,T111_03a,2529.0,TC04x03,true,TC04,1,1
88,2,54447,high,1,3,T108_03,1,1,3,T110_03,6.0,T111_03a,4399.0,TC04x03,true,TC04,1,1
89,1,70147,low,1,1,T108_03,1,1,3,T110_03,6.0,T111_03a,4492.0,TC04x03,true,TC04,1,1
90,3,85033,control,1,5,T108_03,1,1,3,T110_03,6.0,T111_03a,4211.0,TC04x03,true,TC04,1,1
91,2,24500,high,1,4,T108_03,1,1,3,T110_03,6.0,T111_03a,1523.0,TC04x03,true,TC04,1,1
92,2,19117,high,1,3,T108_03,1,1,3,T110_03,6.0,T111_03a,2268.0,TC04x03,true,TC04,1,1
93,1,80909,low,1,2,T108_03,1,1,3,T110_03,6.0,T111_03a,956.0,TC04x03,false,TC04,1,1
94,1,48497,low,1,2,T108_03,1,1,3,T110_03,4.0,T111_03a,4789.0,TC04x03,true,TC04,1,1
95,2,33490,high,1,3,T108_03,1,1,3,T110_03,5.0,T111_03a,14113.0,TC04x03,false,TC04,1,1
96,3,63779,control,1,6,T108_03,1,1,3,T110_03,6.0,T111_03a,16906.0,TC04x03,false,TC04,1,1
97,3,17880,control,1,7,T108_03,1,1,3,T110_03,6.0,T111_03a,8849.0,TC04x03,true,TC04,1,1
